Código Pedido,ID Cliente,ID Producto,Fecha,Forma pago,Ingreso,Unidades
158957,181215,IP2,2005-01-08 00:00:00,Contado,22000 €,22
158958,181215,IP3,2005-01-08 00:00:00,Contado,24000 €,20
158959,181215,IP4,2005-01-08 00:00:00,Contado,28000 €,20
158960,181215,IP5,2005-01-08 00:00:00,Contado,25600 €,16
158961,181215,IP6,2005-01-08 00:00:00,Contado,28800 €,16
158962,181215,GS1,2005-01-08 00:00:00,Contado,18700 €,22
158963,181215,GS2,2005-01-08 00:00:00,Contado,11100 €,12
158964,181215,GS3,2005-01-08 00:00:00,Tarjeta,22000 €,22
158965,181215,GS4,2005-01-08 00:00:00,Tarjeta,25800 €,24
158966,181215,GS5,2005-01-08 00:00:00,Tarjeta,25300 €,22
158967,181215,GS6,2005-01-08 00:00:00,Tarjeta,14700 €,12
158968,181215,MG,2005-01-08 00:00:00,Tarjeta,14040 €,18
158969,181215,MX,2005-01-08 00:00:00,Tarjeta,13152 €,24
158970,181215,SXU,2005-01-08 00:00:00,Tarjeta,21978 €,22
158971,181215,AO1,2005-01-08 00:00:00,Tarjeta,11200 €,16
158972,181215,LGP,2005-01-08 00:00:00,Tarjeta,9308 €,26
158989,171219,IP2,2005-01-08 00:00:00,Contado,16000 €,16
158990,171219,IP3,2005-01-08 00:00:00,Contado,26400 €,22
158991,171219,IP4,2005-01-08 00:00:00,Contado,30800 €,22
158992,171219,IP5,2005-01-08 00:00:00,Contado,16000 €,10
158993,171219,IP6,2005-01-08 00:00:00,Contado,32400 €,18
158994,171219,GS1,2005-01-08 00:00:00,Contado,18700 €,22
158995,171219,GS2,2005-01-08 00:00:00,Contado,9250 €,10
158996,171219,GS3,2005-01-08 00:00:00,Contado,16000 €,16
158997,171219,GS4,2005-01-08 00:00:00,Contado,8600 €,8
158998,171219,GS5,2005-01-08 00:00:00,Contado,25300 €,22
158999,171219,GS6,2005-01-08 00:00:00,Contado,22050 €,18
159000,171219,MG,2005-01-08 00:00:00,Contado,4680 €,6
159001,171219,MX,2005-01-08 00:00:00,Contado,8768 €,16
159002,171219,SXU,2005-01-08 00:00:00,Contado,7992 €,8
159003,171219,AO1,2005-01-08 00:00:00,Contado,5600 €,8
159004,171219,LGP,2005-01-08 00:00:00,Contado,7160 €,20
159005,191221,SXU,2005-01-08 00:00:00,Contado,10000 €,10
159006,191221,SXU,2005-01-08 00:00:00,Contado,7200 €,6
159007,191221,SXU,2005-01-08 00:00:00,Contado,16800 €,12
159008,191221,SXU,2005-01-08 00:00:00,Contado,19200 €,12
159009,191221,SXU,2005-01-08 00:00:00,Contado,21600 €,12
159010,191221,SXU,2005-01-08 00:00:00,Contado,18700 €,22
159011,191221,SXU,2005-01-08 00:00:00,Contado,20350 €,22
159012,191221,SXU,2005-01-08 00:00:00,Contado,12000 €,12
159013,191221,SXU,2005-01-08 00:00:00,Contado,10750 €,10
159014,191221,SXU,2005-01-08 00:00:00,Contado,9200 €,8
159015,191221,SXU,2005-01-08 00:00:00,Contado,9800 €,8
159016,191221,SXU,2005-01-08 00:00:00,Contado,12480 €,16
159017,191221,SXU,2005-01-08 00:00:00,Contado,6576 €,12
159018,191221,SXU,2005-01-08 00:00:00,Contado,13986 €,14
159019,191221,SXU,2005-01-08 00:00:00,Contado,12600 €,18
159020,191221,SXU,2005-01-08 00:00:00,Contado,4296 €,12
159037,111225,IP2,2005-01-08 00:00:00,Contado,58000 €,58
159038,111225,IP3,2005-01-08 00:00:00,Contado,76800 €,64
159039,111225,IP4,2005-01-09 00:00:00,Contado,100800 €,72
159040,111225,IP5,2005-01-09 00:00:00,Contado,112000 €,70
159041,111225,IP6,2005-01-09 00:00:00,Contado,64800 €,36
159042,111225,GS1,2005-01-09 00:00:00,Contado,49300 €,58
159043,111225,GS2,2005-01-09 00:00:00,Contado,66600 €,72
159044,111225,GS3,2005-01-09 00:00:00,Contado,54000 €,54
159045,111225,GS4,2005-01-09 00:00:00,Contado,68800 €,64
159046,111225,GS5,2005-01-08 00:00:00,Contado,64400 €,56
159047,111225,GS6,2005-01-08 00:00:00,Contado,68600 €,56
159048,111225,MG,2005-01-08 00:00:00,Contado,42120 €,54
159049,111225,MX,2005-01-08 00:00:00,Contado,27400 €,50
159050,111225,SXU,2005-01-08 00:00:00,Contado,51948 €,52
159051,111225,AO1,2005-01-08 00:00:00,Contado,32200 €,46
159052,111225,LGP,2005-01-08 00:00:00,Contado,13604 €,38
159053,161229,IP2,2005-01-08 00:00:00,Contado,34000 €,34
159054,161229,IP2,2005-01-08 00:00:00,Contado,67200 €,56
159055,161229,IP2,2005-01-08 00:00:00,Contado,39200 €,28
159056,161229,IP2,2005-01-08 00:00:00,Contado,60800 €,38
159057,161229,IP2,2005-01-08 00:00:00,Contado,64800 €,36
159058,161229,IP2,2005-01-08 00:00:00,Contado,34000 €,40
159059,161229,IP2,2005-01-08 00:00:00,Contado,27750 €,30
159060,161229,LGP,2005-01-08 00:00:00,Contado,40000 €,40
159061,161229,LGP,2005-01-08 00:00:00,Contado,36550 €,34
159062,161229,LGP,2005-01-08 00:00:00,Contado,50600 €,44
159063,161229,LGP,2005-01-08 00:00:00,Contado,51450 €,42
159064,161229,LGP,2005-01-08 00:00:00,Contado,23400 €,30
159065,161229,LGP,2005-01-08 00:00:00,Contado,29592 €,54
159066,161229,LGP,2005-01-08 00:00:00,Contado,45954 €,46
159067,161229,LGP,2005-01-08 00:00:00,Contado,29400 €,42
